accuracy,precision,recall,f1_score,tp,tn,fp,fn,feature_method,model,seed,split_ratio,train_size,test_size,extraction_time,method,feature_size,train_time,def_pred_threshold,pred_time,dataset
0.937602091,0.998944034,0.832746479,0.908305329,1892,3848,2,380,tf-idf_ngram,NuSVC,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,15.53309904,0.5,7.862824824,SQLiV3.tsv
0.997713166,0.999557522,0.994278169,0.996910856,2259,3849,1,13,tf-idf_ngram,LinearSVC,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,0.004677364,0.5,0.00030352,SQLiV3.tsv
0.990035936,0.993747209,0.97931338,0.986477499,2225,3836,14,47,tf-idf_ngram,DecisionTreeClassifier,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,0.073087457,0.5,0.000696956,SQLiV3.tsv
0.993466188,0.99380531,0.988556338,0.991173875,2246,3836,14,26,tf-idf_ngram,AdaBoostClassifier,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,0.827414473,0.5,0.02515185,SQLiV3.tsv
0.995916367,0.995588884,0.993397887,0.994492179,2257,3840,10,15,tf-idf_ngram,BaggingClassifier,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,2.378968095,0.5,0.012045377,SQLiV3.tsv
0.99722313,0.999556934,0.992957746,0.996246412,2256,3849,1,16,tf-idf_ngram,ExtraTreesClassifier,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,0.433978093,0.5,0.056247992,SQLiV3.tsv
0.997059784,0.99911426,0.992957746,0.99602649,2256,3848,2,16,tf-idf_ngram,RidgeClassifier,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,0.073145662,0.5,0.000355284,SQLiV3.tsv
0.996569748,0.999113082,0.991637324,0.995361166,2253,3848,2,19,tf-idf_ngram,SGDClassifier,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,0.005452119,0.5,0.000354656,SQLiV3.tsv
0.997059784,0.99691358,0.995158451,0.996035242,2261,3843,7,11,tf-idf_ngram,Perceptron,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,0.002738995,0.5,0.00037612,SQLiV3.tsv
0.994446259,0.998219056,0.986795775,0.992474546,2242,3846,4,30,tf-idf_ngram,LogisticRegression,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,0.065779244,0.5,0.000340599,SQLiV3.tsv
0.997713166,0.999115827,0.99471831,0.996912219,2260,3848,2,12,tf-idf_ngram,PassiveAggressiveClassifier,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,0.006226106,0.5,0.000307851,SQLiV3.tsv
0.99754982,0.999115436,0.994278169,0.996690933,2259,3848,2,13,tf-idf_ngram,OneVsRestClassifier,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,0.330919252,0.5,0.001794576,SQLiV3.tsv
0.99754982,0.999115436,0.994278169,0.996690933,2259,3848,2,13,tf-idf_ngram,OneVsOneClassifier,27,0.2,24487,6122,2.20506704,tf-idf_ngram,29212,0.393838981,0.5,0.003669293,SQLiV3.tsv
